book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
DjxZEAAAQBAJ,python,The Python Book,N/A,Rob Mastrodomenico,"The Python Book Discover the power of one of the fastest growing programming languages in the world with this insightful new resource The Python Book delivers an essential introductory guide to learning Python for anyone who works with data but does not have experience in programming. The author, an experienced data scientist and Python programmer, shows readers how to use Python for data analysis, exploration, cleaning, and wrangling. Readers will learn what in the Python language is important for data analysis, and why. The Python Book offers readers a thorough and comprehensive introduction to Python that is both simple enough to be ideal for a novice programmer, yet robust to be useful for those more experienced in the language. The book assists budding programmers to gradually increase their skills as they move through the book, always with an understanding of what they are covering and why it is useful. Used by major companies like Google, Facebook, Instagram, Spotify, and more, Python promises to remain central to the programming landscape for years to come. Containing a thorough discussion of Python programming topics like variables, equalities and comparisons, tuple and dictionary data types, while and for loops, and if statements, readers will also learn: How to use highly useful Python programming libraries, including Pandas and Matplotlib How to write Python functions and classes How to write and use Python scripts To deal with different data types within Python Perfect for statisticians, computer scientists, software programmers, and practitioners working in private industry and medicine, The Python Book will also be of interest to students in any of the aforementioned fields. As it assumes no programming experience or knowledge, the book is ideal for those who work with data and want to learn to use Python to enhance their work.",ISBN_13,True,True,348,Mathematics,en,http://books.google.com/books/content?id=DjxZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,46.0,USD,46.0,USD,https://play.google.com/store/books/details?id=DjxZEAAAQBAJ&rdid=book-DjxZEAAAQBAJ&rdot=1&source=gbs_api,2022-01-13,John Wiley & Sons
69IyAgAAQBAJ,python,"Introduction to Computation and Programming Using Python, revised and expanded edition",N/A,John V. Guttag,"An introductory text that teaches students the art of computational problem solving, covering topics that range from simple algorithms to information visualization. This book introduces students with little or no prior programming experience to the art of computational problem solving using Python and various Python libraries, including PyLab. It provides students with skills that will enable them to make productive use of computational techniques, including some of the tools and techniques of “data science” for using computation to model and interpret data. The book is based on an MIT course (which became the most popular course offered through MIT's OpenCourseWare) and was developed for use not only in a conventional classroom but in a massive open online course (or MOOC) offered by the pioneering MIT-Harvard collaboration edX. Students are introduced to Python and the basics of programming in the context of such computational concepts and techniques as exhaustive enumeration, bisection search, and efficient approximation algorithms. The book does not require knowledge of mathematics beyond high school algebra, but does assume that readers are comfortable with rigorous thinking and not intimidated by mathematical concepts. Although it covers such traditional topics as computational complexity and simple algorithms, the book focuses on a wide range of topics not found in most introductory texts, including information visualization, simulations to model randomness, computational techniques to understand data, and statistical techniques that inform (and misinform) as well as two related but relatively advanced topics: optimization problems and dynamic programming. Introduction to Computation and Programming Using Python can serve as a stepping-stone to more advanced computer science courses, or as a basic grounding in computational problem solving for students in other disciplines.",ISBN_13,True,True,315,Computers,en,http://books.google.com/books/content?id=69IyAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2013-08-09,MIT Press
igYvDwAAQBAJ,python,Python Crash Course,"A Hands-On, Project-Based Introduction to Programming",Eric Matthes,"Python Crash Course is a fast-paced, thorough introduction to Python that will have you writing programs, solving problems, and making things that work in no time. In the first half of the book, you’ll learn about basic programming concepts, such as lists, dictionaries, classes, and loops, and practice writing clean and readable code with exercises for each topic. You’ll also learn how to make your programs interactive and how to test your code safely before adding it to a project. In the second half of the book, you’ll put your new knowledge into practice with three substantial projects: a Space Invaders–inspired arcade game, data visualizations with Python’s super-handy libraries, and a simple web app you can deploy online. As you work through Python Crash Course you’ll learn how to: –Use powerful Python libraries and tools, including matplotlib, NumPy, and Pygal –Make 2D games that respond to keypresses and mouse clicks, and that grow more difficult as the game progresses –Work with data to generate interactive visualizations –Create and customize Web apps and deploy them safely online –Deal with mistakes and errors so you can solve your own programming problems If you’ve been thinking seriously about digging into programming, Python Crash Course will get you up to speed and have you writing real programs fast. Why wait any longer? Start your engines and code! Uses Python 2 and 3",ISBN_13,True,False,564,Computers,en,http://books.google.com/books/content?id=igYvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2015-11-01,No Starch Press
KZvM0AEACAAJ,python,Effective Python,90 Specific Ways to Write Better Python (2nd Edition),Brett Slatkin,N/A,ISBN_10,False,False,0,Computer programming,en,N/A,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2024,N/A
bIZHCgAAQBAJ,python,Fluent Python,"Clear, Concise, and Effective Programming",Luciano Ramalho,"Python’s simplicity lets you become productive quickly, but this often means you aren’t using everything it has to offer. With this hands-on guide, you’ll learn how to write effective, idiomatic Python code by leveraging its best—and possibly most neglected—features. Author Luciano Ramalho takes you through Python’s core language features and libraries, and shows you how to make your code shorter, faster, and more readable at the same time. Many experienced programmers try to bend Python to fit patterns they learned from other languages, and never discover Python features outside of their experience. With this book, those Python programmers will thoroughly learn how to become proficient in Python 3. This book covers: Python data model: understand how special methods are the key to the consistent behavior of objects Data structures: take full advantage of built-in types, and understand the text vs bytes duality in the Unicode age Functions as objects: view Python functions as first-class objects, and understand how this affects popular design patterns Object-oriented idioms: build classes by learning about references, mutability, interfaces, operator overloading, and multiple inheritance Control flow: leverage context managers, generators, coroutines, and concurrency with the concurrent.futures and asyncio packages Metaprogramming: understand how properties, attribute descriptors, class decorators, and metaclasses work",ISBN_13,True,True,755,Computers,en,http://books.google.com/books/content?id=bIZHCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2,5.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2015-07-30,"""O'Reilly Media, Inc."""
C3ymDwAAQBAJ,python,Python Programming in Context,N/A,"Bradley N. Miller,David L. Ranum,Julie Anderson","Python Programming in Context, Third Edition provides a comprehensive and accessible introduction to Python fundamentals. Updated with the latest version of Python, the new Third Edition offers a thorough overview of multiple applied areas, including image processing, cryptography, astronomy, the Internet, and bioinformatics. Taking an active learning approach, each chapter starts with a comprehensive real-world project that teaches core design techniques and Python programming while engaging students. An ideal first language for learners entering the rapidly expanding field of computer science, Python gives students a solid platform of key problem-solving skills that translate easily across programming languages.",ISBN_13,True,True,516,Computers,en,http://books.google.com/books/content?id=C3ymDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,148.95,USD,119.16,USD,https://play.google.com/store/books/details?id=C3ymDwAAQBAJ&rdid=book-C3ymDwAAQBAJ&rdot=1&source=gbs_api,2019-10-01,Jones & Bartlett Learning
__wvEQAAQBAJ,python,Powerful Python,N/A,Aaron Maxwell,"Once you've mastered the basics of Python, how do you skill up to the top 1%? How do you focus your learning time on topics that yield the most benefit for production engineering and data teams—without getting distracted by info of little real-world use? This book answers these questions and more. Based on author Aaron Maxwell's software engineering career in Silicon Valley, this unique book focuses on the Python first principles that act to accelerate everything else: the 5% of programming knowledge that makes the remaining 95% fall like dominos. It's also this knowledge that helps you become an exceptional Python programmer, fast. Learn how to think like a Pythonista: explore advanced Pythonic thinking Create lists, dicts, and other data structures using a high-level, readable, and maintainable syntax Explore higher-order function abstractions that form the basis of Python libraries Examine Python's metaprogramming tool for priceless patterns of code reuse Master Python's error model and learn how to leverage it in your own code Learn the more potent and advanced tools of Python's object system Take a deep dive into Python's automated testing and TDD Learn how Python logging helps you troubleshoot and debug more quickly",ISBN_13,False,True,200,"N,/,A",en,http://books.google.com/books/content?id=__wvEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2024-11-08,"""O'Reilly Media, Inc."""
w1v6DwAAQBAJ,python,"Python Crash Course, 2nd Edition","A Hands-On, Project-Based Introduction to Programming",Eric Matthes,"The best-selling Python book in the world, with over 1 million copies sold! A fast-paced, no-nonsense, updated guide to programming in Python. If you've been thinking about learning how to code or picking up Python, this internationally bestselling guide to the most popular programming language is your quickest, easiest way to get started and go! Even if you have no experience whatsoever, Python Crash Course, 2nd Edition, will have you writing programs, solving problems, building computer games, and creating data visualizations in no time. You’ll begin with basic concepts like variables, lists, classes, and loops—with the help of fun skill-strengthening exercises for every topic—then move on to making interactive programs and best practices for testing your code. Later chapters put your new knowledge into play with three cool projects: a 2D Space Invaders-style arcade game, a set of responsive data visualizations you’ll build with Python's handy libraries (Pygame, Matplotlib, Plotly, Django), and a customized web app you can deploy online. Why wait any longer? Start your engine and code!",ISBN_13,False,False,546,Computers,en,http://books.google.com/books/content?id=w1v6DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2019-05-03,No Starch Press
HFeGvgEACAAJ,python,The Quick Python Book,N/A,"Vernon L. Ceder,Naomi R. Ceder","Introduces the programming language's syntax, control flow, and basic data structures and covers its interaction with applications and mangement of large collections of code.",ISBN_10,False,False,336,Computers,en,http://books.google.com/books/content?id=HFeGvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2010,Manning Publications Company
10KYwCZxSdEC,python,Think Python,N/A,Allen B. Downey,"If you want to learn how to program, working with Python is an excellent way to start. This hands-on guide takes you through the language one step at a time, beginning with basic programming concepts before moving on to functions, recursion, data structures, and object-oriented design. Through exercises in each chapter, you’ll try out programming concepts as you learn them. Think Python is ideal for students at the high school or college level, as well as self-learners, home-schooled students, and professionals who need to learn programming basics. Start with the basics, including language syntax and semantics Get a clear definition of each programming concept Learn values, variables, statements, functions, and data structures in a logical progression Discover how to work with files and databases Understand objects, methods, and object-oriented programming Use debugging techniques to fix syntax, runtime, and semantic errors Explore interface design, data structures, and GUI-based programs through case studies",ISBN_13,True,True,299,Computers,en,http://books.google.com/books/content?id=10KYwCZxSdEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2012-08-09,"""O'Reilly Media, Inc."""
